city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
Garrett,1755,1,0.137,0.052,43798,30.9,8.9,5.2,0.982,15.6,17779,19.2,8.9,27.3,0.089,0,0.791,0.4,0.78,0.667,0.015,0.009,0,0,0.012,0.024,0.274,874,391600
Geneva,2437,1,0.078,0.067,81905,39.4,9,4.9,1.304,21,10143,19.9,7.4,22.5,0.087,0,0.789,0.6,0.81,0.915,0,0.026,0.021,0,0,0.006,0.032,2707,515300
George,702,1,0.019,0.071,47730,26.2,9.3,4.7,0.838,18.9,10420,17.8,13.6,41.2,0.079,0,0.827,0.5,0.91,0.113,0,0,0,0,0,0,0.887,401,175800
Gig Harbor,11505,1,0.218,0.068,64087,44.8,9.3,5.5,1.418,23.8,9358,20.8,14.8,78.7,0.099,0,0.8,0.6,0.61,0.848,0.009,0.051,0.014,0.001,0.002,0.03,0.043,1843,704800
Glacier,188,1,0.962,0.067,8667,50.9,8.9,4.5,1.187,21,11652,17.8,16,48.9,0.087,0,0.789,0.6,0.92,1,0,0,0,0,0,0,0,38,441500
Gleed,3184,1,-0.029,0.072,53000,48.3,8.9,5,0.898,16.3,9281,18.3,8.9,26.9,0.079,0,0.813,0.53,0.76,0.847,0.013,0,0.006,0,0,0.034,0.1,465,288700
Gold Bar,2172,1,-0.248,0.063,54301,42,8.9,4.8,1.149,41.5,9954,18.7,12.1,26.7,0.089,0,0.801,0.53,0.88,0.905,0,0.002,0.017,0.003,0,0.017,0.056,2214,429800
Goldendale,3480,1,-0.01,0.064,36490,43.8,9.1,4.6,0.847,24.1,11722,18.4,15.8,60.9,0.07,0,0.803,0.47,0.92,0.924,0.002,0.007,0.009,0,0,0.021,0.036,1239,289800
Gorst,294,1,-0.51,0.058,43750,74.1,9.2,5.3,1.153,30.3,9383,20.8,10.7,32.7,0.09,0,0.834,0.4,0.71,1,0,0,0,0,0,0,0,437,393200
Graham,33727,1,0.241,0.068,71951,34.4,9.1,5.3,1.286,39.5,10733,20.8,13.1,40.7,0.079,0,0.8,0.6,0.67,0.801,0.021,0.029,0.013,0.011,0.004,0.048,0.072,833,536000
Grand Coulee,1121,1,-0.117,0.071,27381,44.7,9,4.5,0.765,18.9,25135,16.9,20.9,83.6,0.079,0,0.827,0.5,0.93,0.666,0.001,0.006,0.161,0,0.009,0.062,0.096,863,223500
